team,name,position,height,weight,age,games played,efg,efg plus
Atlanta Hawks,Dennis Schroder,PG,6-1,172,23,34,0.493,-2.2736458333332195
Atlanta Hawks,Kyle Korver,SG,6-7,212,35,112,0.621,10.761433447098952
Atlanta Hawks,Kent Bazemore,SF,6-5,201,27,41,0.473,-3.8147843942505375
Atlanta Hawks,Paul Millsap,PF,6-8,246,31,87,0.481,-3.412637362637234
Atlanta Hawks,Dwight Howard,C,6-11,265,31,95,0.633,10.667192982456214
Atlanta Hawks,Malcolm Delaney,PG,6-3,190,27,1,0.407,-10.052698412698433
Atlanta Hawks,Thabo Sefolosha,SG,6-7,220,32,92,0.492,-1.8256809338521762
Atlanta Hawks,Taurean Prince,SF,6-8,220,22,6,0.458,-6.124170616113759
Atlanta Hawks,Kris Humphries,PF,,,,22,0.451,-4.248538011695899
Atlanta Hawks,Tiago Splitter,C,,,,65,0.484,-2.3062499999999915
Atlanta Hawks,Tim Hardaway Jr,SG,,,,15,0.537,2.289792387543251
Atlanta Hawks,DeAndre' Bembry,SF,6-6,210,22,57,0.485,-2.6742424242424008
Atlanta Hawks,Mike Scott,PF,6-8,237,28,36,0.25,-26.320454545454552
Atlanta Hawks,Mike Muscala,C,6-11,240,25,27,0.573,5.454106280193194
Atlanta Hawks,Walter Tavares,C,,,,78,0.8,nan
Boston Celtics,Isaiah Thomas,PG,5-9,185,28,25,0.546,2.553245033112667
Boston Celtics,Avery Bradley,SG,6-2,180,26,39,0.533,1.9648881239242613
Boston Celtics,Jae Crowder,SF,6-6,235,26,38,0.572,5.265784114052913
Boston Celtics,Amir Johnson,PF,6-9,240,29,46,0.612,10.168468468468419
Boston Celtics,Al Horford,C,6-10,245,30,96,0.527,1.0251412429379272
Boston Celtics,Marcus Smart,PG,6-4,220,22,28,0.422,-8.961440677966038
Boston Celtics,Gerald Green,SG,6-7,205,31,43,0.494,-0.17884615384615898
Boston Celtics,Jaylen Brown,SF,6-7,225,20,21,0.508,-1.4161512027491625
Boston Celtics,Jonas Jerebko,PF,6-10,231,29,25,0.521,1.5360730593607315
Boston Celtics,Kelly Olynyk,C,7-0,245,25,30,0.357,-16.075490196078405
Boston Celtics,Terry Rozier,PG,6-2,190,22,26,0.437,-7.807565789473728
Boston Celtics,James Young,SG,6-6,215,21,13,0.534,4.2974358974359035
Boston Celtics,Jordan Mickey,PF,6-8,235,22,4,0.441,-7.549019607843157
Boston Celtics,Tyler Zeller,C,7-0,250,27,22,0.494,-3.2720720720720777
Boston Celtics,Demetrius Jackson,PG,6-1,201,22,72,0.372,-14.54642857142857
Brooklyn Nets,Jeremy Lin,PG,6-3,200,28,17,0.51,-0.8833819241982965
Brooklyn Nets,Randy Foye,SG,,,,27,0.466,-3.280487804878092
Brooklyn Nets,Bojan Bogdanovic,SF,6-8,230,27,22,0.53,1.6982490272373667
Brooklyn Nets,Trevor Booker,PF,6-8,228,29,12,0.537,2.5491596638655665
Brooklyn Nets,Brook Lopez,C,7-0,268,28,13,0.531,1.9932692307692434
Brooklyn Nets,Greivis Vasquez,PG,,,,24,0.313,-20.68181818181819
Brooklyn Nets,Sean Kilpatrick,SG,6-4,212,27,85,0.486,-2.3370370370369926
Brooklyn Nets,Rondae Hollis-Jefferson,SF,6-7,214,22,21,0.447,-8.127659574468069
Brooklyn Nets,Luis Scola,PF,,,,48,0.526,1.925688073394511
Brooklyn Nets,Justin Hamilton,C,,,,130,0.5,-0.6113122171945804
Brooklyn Nets,Isaiah Whitehead,PG,6-4,213,21,25,0.445,-6.940435835351032
Brooklyn Nets,Caris LeVert,SG,6-7,203,22,0,0.528,0.6934210526315923
Brooklyn Nets,Chris McCullough,PF,6-9,215,22,79,0.516,-1.45000000000001
Brooklyn Nets,Joe Harris,SG,6-6,219,25,6,0.2,-31.382513661202196
Brooklyn Nets,Anthony Bennett,PF,,,,8,0.625,10.751282051282047
Charlotte Hornets,Kemba Walker,PG,6-1,184,26,11,0.527,1.810960144927705
Charlotte Hornets,Nicolas Batum,SG,6-8,200,28,39,0.472,-3.367014341590611
Charlotte Hornets,Michael Kidd-Gilchrist,SF,6-7,232,23,4,0.478,-2.393135011441686
Charlotte Hornets,Marvin Williams,PF,6-9,237,30,49,0.457,-5.651288659793821
Charlotte Hornets,Cody Zeller,C,7-0,240,24,11,0.571,6.952816901408376
Charlotte Hornets,Ramon Sessions,PG,,,,22,0.42,-8.899190283400827
Charlotte Hornets,Marco Belinelli,SG,6-5,210,30,52,0.512,0.12774566473986937
