team,wins,losses,ppp
Golden State Warriors,67,15,1.2067899703979
San Antonio Spurs,61,21,1.1275199651718
Houston Rockets,55,27,1.0820300579071
Boston Celtics,53,29,1.0592900514603
Cleveland Cavaliers,51,31,1.155179977417
Utah Jazz,51,31,1.216639995575
Toronto Raptors,51,31,1.1302100419998
Los Angeles Clippers,51,31,1.1549799442291
Washington Wizards,49,33,1.1890200376511
Oklahoma City Thunder,47,35,1.0753999948502
Atlanta Hawks,43,39,1.0205999612808
Memphis Grizzlies,43,39,1.1100200414658
Milwaukee Bucks,42,40,1.1600300073624
Indiana Pacers,42,40,1.077299952507
Portland Trail Blazers,41,41,1.1527199745178
Chicago Bulls,41,41,1.1145800352097
Miami Heat,41,41,1.1282700300217
Denver Nuggets,40,42,1.0517499446869
Detroit Pistons,37,45,1.0833300352097
Charlotte Hornets,36,46,1.125
New Orleans Pelicans,34,48,1.0630600452423
Dallas Mavericks,33,49,1.0287300348282
Sacramento Kings,32,50,1.081169962883
New York Knicks,31,51,1.0247000455856
Minnesota Timberwolves,31,51,1.1154500246048
Orlando Magic,29,53,1.0802299976349
Philadelphia 76ers,28,54,1.0087000131607
Los Angeles Lakers,26,56,1.0625900030136
Phoenix Suns,24,58,1.1236100196838
Brooklyn Nets,20,62,1.0768699645996
